DateTime,High,Low,Open,Close,TotalVolume,PeriodVolume,Unknown
2024-03-01 15:10:00,137.9632,137.8826,137.9600,137.8850,19885151,58355,0
2024-03-01 15:09:00,138.0100,137.9585,138.0000,137.9585,19817142,43802,0
2024-03-01 15:08:00,138.0200,137.9400,137.9700,138.0000,19715667,51223,0
2024-03-01 15:07:00,138.0750,137.9601,138.0400,137.9601,19651513,38094,0
2024-03-01 15:06:00,138.0982,138.0300,138.0700,138.0400,19604974,38063,0
2024-03-01 15:05:00,138.1250,138.0500,138.0500,138.0750,19558662,23174,0
2024-03-01 15:04:00,138.1300,138.0550,138.0800,138.0550,19524893,38542,0
2024-03-01 15:03:00,138.1650,138.0900,138.1400,138.0900,19475233,83072,0
2024-03-01 15:02:00,138.1800,138.1200,138.1350,138.1450,19382260,28530,0
2024-03-01 15:01:00,138.2100,138.0784,138.2100,138.1500,19344029,67957,0
2024-03-01 15:00:00,138.2140,138.1600,138.2000,138.2000,19262876,37989,0
2024-03-01 14:59:00,138.2000,138.1500,138.1550,138.1950,19211292,26177,0
2024-03-01 14:58:00,138.1800,138.0900,138.1450,138.1550,19175313,51288,0
2024-03-01 14:57:00,138.1500,138.0900,138.1300,138.1500,19109962,50280,0
2024-03-01 14:56:00,138.1400,138.1000,138.1200,138.1300,19047461,31840,0
2024-03-01 14:55:00,138.1500,138.0371,138.0400,138.1287,19006037,33412,0
2024-03-01 14:54:00,138.0850,138.0100,138.0800,138.0400,18963014,46331,0
2024-03-01 14:53:00,138.0950,138.0100,138.0200,138.0800,18905605,47293,0
2024-03-01 14:52:00,138.0300,137.9450,137.9750,138.0200,18845276,64634,0
2024-03-01 14:51:00,138.0299,137.9700,138.0200,137.9750,18766334,32265,0
2024-03-01 14:50:00,138.0200,137.9700,137.9850,138.0173,18724108,34735,0
2024-03-01 14:49:00,138.0350,137.9700,137.9850,137.9800,18681725,41149,0
2024-03-01 14:48:00,138.0500,137.9800,138.0300,137.9850,18630944,44660,0
2024-03-01 14:47:00,138.0500,138.0100,138.0500,138.0300,18568664,30157,0
2024-03-01 14:46:00,138.0600,138.0100,138.0350,138.0400,18529834,57402,0
2024-03-01 14:45:00,138.0850,138.0300,138.0750,138.0400,18459027,39619,0
2024-03-01 14:44:00,138.0799,138.0350,138.0400,138.0700,18411449,25930,0
2024-03-01 14:43:00,138.1250,138.0300,138.1058,138.0350,18376623,44752,0
2024-03-01 14:42:00,138.1200,138.0500,138.0600,138.1150,18323116,27619,0
2024-03-01 14:41:00,138.1400,138.0543,138.1400,138.0543,18287891,36721,0
2024-03-01 14:40:00,138.1600,138.0999,138.1300,138.1374,18240596,32805,0
2024-03-01 14:39:00,138.1964,138.1300,138.1927,138.1350,18199709,29808,0
2024-03-01 14:38:00,138.2450,138.1900,138.2400,138.1900,18161947,30586,0
2024-03-01 14:37:00,138.2450,138.1900,138.2050,138.2350,18121120,26462,0
2024-03-01 14:36:00,138.2200,138.1500,138.2000,138.2000,18085808,39139,0
2024-03-01 14:35:00,138.2200,138.1600,138.1700,138.2050,18034055,18087,0
2024-03-01 14:34:00,138.2050,138.1400,138.1600,138.1750,18008183,27368,0
2024-03-01 14:33:00,138.2100,138.1400,138.2000,138.1500,17970620,29201,0
2024-03-01 14:32:00,138.2450,138.1700,138.2300,138.2000,17931818,45740,0
2024-03-01 14:31:00,138.2850,138.2200,138.2550,138.2200,17872537,38629,0
2024-03-01 14:30:00,138.3100,138.2500,138.3000,138.2500,17821763,36632,0
2024-03-01 14:29:00,138.3100,138.2600,138.3050,138.2999,17774131,25070,0
2024-03-01 14:28:00,138.3050,138.2700,138.2900,138.3000,17737010,33642,0
2024-03-01 14:27:00,138.2900,138.2100,138.2400,138.2850,17692635,37031,0
2024-03-01 14:26:00,138.2700,138.2200,138.2399,138.2450,17642753,29274,0
2024-03-01 14:25:00,138.2800,138.2100,138.2800,138.2250,17599871,41494,0
2024-03-01 14:24:00,138.2950,138.1800,138.2800,138.2899,17544290,64552,0
2024-03-01 14:23:00,138.3100,138.2700,138.2750,138.2900,17459946,30524,0
2024-03-01 14:22:00,138.3250,138.2700,138.3200,138.2702,17422362,24561,0
2024-03-01 14:21:00,138.3300,138.2950,138.2980,138.3100,17391104,24382,0
2024-03-01 14:20:00,138.3300,138.2630,138.3300,138.2900,17356634,22279,0
2024-03-01 14:19:00,138.3350,138.2950,138.3300,138.3350,17323484,53162,0
2024-03-01 14:18:00,138.4250,138.3300,138.4050,138.3399,17257454,28288,0
